name,address,category,latitude,longitude,rating
Le Millen,"1185 Rue Fleury Est, Montreal, QC H2C 1P9, Canada",French,45.55894,-73.65894,4.0
StHubert,"10520 Rue Lajeunesse, Montreal, QC H3L 2E6, Canada","Barbeque, Chicken Shop",45.55422522740152,-73.66530427853547,2.5
Mamie Clafoutis,"1602 Rue Fleury E, Montreal, QC H2C 1S8, Canada",Bakeries,45.5639899,-73.65533,4.0
Cafe Aroma Paninoteca,"1520 Fleury Rue E, Montreal, QC H2C 1S4, Canada","Coffee & Tea, Sandwiches, Desserts",45.56275,-73.65607,4.5
Restaurant Les Brides,"10420 Lajeunesse Street, Montreal, QC H3L 2E5, Canada",Sushi Bars,45.5537599,-73.664,4.0
Pizza Pizza,"500 Boulevard Henri-Bourassa E, Montreal, QC H3L 1C6, Canada",Pizza,45.554538,-73.668288,2.0
Toujours Mikes,"10490 Rue Lajeunesse, Montreal, QC H3L 2E5, Canada",Pizza,45.55407,-73.66486,3.5
Über Cafbar,"1011 Rue Fleury E, Montreal, QC H2C 1P8, Canada",Bars,45.557981,-73.659398,4.5
Basha Restaurant,"10650 Lajeunesse Rue, Montreal, QC H3L 2E6, Canada",Restaurants,45.55473,-73.66736,3.5
Bagel Henri - Bourassa,"443 Boulevard Henri Bourassa E, Montreal, QC H3N 1C5, Canada",Bagels,45.554154,-73.6691049,4.0
Le Fouvrac,"1404, rue Fleury Est, Montreal, QC H2C 1R8, Canada","Coffee & Tea, Specialty Food",45.56119,-73.65703,5.0
Virevent,"1517 Rue Fleury E, Montreal, QC H2C 1S5, Canada","Desserts, Ice Cream & Frozen Yogurt",45.5629082,-73.6565781,4.5
La Molisana,"1014 Rue Fleury E, Montreal, QC H2C 1P7, Canada",Italian,45.5578762,-73.6590576,2.5
Sushi Ami,"1469 Rue Fleury E, Montreal, QC H2C 1S3, Canada",Sushi Bars,45.56225,-73.65705,3.5
Sweet Isabelle,"1584 Rue Fleury Est, Montreal, QC H2C 1S6, Canada","Desserts, Patisserie/Cake Shop",45.5636071,-73.6557481,3.5
La Banquise,"994 Rue Rachel E, Montreal, QC H2J 2J3, Canada",Poutineries,45.525354,-73.574769,4.0
Ma Poule Mouillée,"969 Rue Rachel E, Montreal, QC H2J 2J2, Canada","Portuguese, Chicken Shop",45.5251692,-73.5752667883391,4.5
Au Pied de Cochon,"536 Avenue Duluth E, Montreal, QC H2L 1A9, Canada",Canadian (New),45.522169,-73.57445,4.0
Poutineville,"1365 Rue Ontario E, Montreal, QC H2L 1S1, Canada",Poutineries,45.523205,-73.5613,4.5
L'Express,"3927 Rue Saint-Denis, Montreal, QC H2W 2M4, Canada",French,45.52032,-73.57437,4.0
L'Avenue,"922 Avenue du Mont-Royal E, Montreal, QC H2J 1X2, Canada",Breakfast & Brunch,45.5266781712886,-73.5802391312828,4.5
Barranco MTL,"4552 Rue Saint-Denis, Montreal, QC H2J 2L3, Canada","Tapas Bars, Peruvian, Cocktail Bars",45.52426823888716,-73.58393073864245,4.5
Ichigo Ichie,"360 Rue Rachel E, Montreal, QC H2W 1E9, Canada","Japanese, Pubs",45.52128,-73.57842,4.5
Saint Sushi Plateau,"424 Avenue Duluth E, Montreal, QC H2L 1A3, Canada","Sushi Bars, Japanese",45.521106,-73.575346,4.5
Romados,"115 Rue Rachel E, Montreal, QC H2W 1C8, Canada","Barbeque, Bakeries, Portuguese",45.519261587336665,-73.58070295798589,4.0
Chez Victoire,"1453 Avenue Mont-Royal E, Montreal, QC H2J 1Z1, Canada","French, Wine Bars",45.53109931841519,-73.57652291717903,4.0
Yokato Yokabai,"4185 Rue Drolet, Montreal, QC H2W 2L5, Canada",Ramen,45.5212206164378,-73.578518757916,4.0
