name,category,address,country,latitude,longitude
Starbucks,Coffee Shop,1301 Sainte-Catherine Rue E,CA,45.519431,-73.555448
Renard,Cocktail Bar,1272 Sainte-Catherine Rue E,CA,45.519093,-73.555341
Bar l'aigle Noir,Night Club,1315 Sainte-Catherine Rue E,CA,45.519605,-73.555309
Bistro le Passe Compose,Bistro,1310 Blvd de Maisonneuve Est,CA,45.520035,-73.556485
Rachelle-Béry,Health Food Store,1150 Ste,CA,45.518157,-73.556668
Pourquoi Pas Espresso Bar,Café,1447 Atateken Rue,CA,45.517964,-73.557776
O'Thym,French Restaurant,1112 Blvd de Maisonneuve Est,CA,45.518359,-73.557934
La graine brûlée,Café,921 Sainte-Catherine Rue E,CA,45.516769,-73.557883
Usine C,Concert Hall,1345 Lalonde Ave,CA,45.522224,-73.560624
Toqué,French Restaurant,900 Jean-Paul-Riopelle Pl,CA,45.502899,-73.561076
Tiradito,Bar,1076 Rue de Bleury,CA,45.504444,-73.563353
Five Guys Burgers & Fries,Burger Joint,468 McGill Rue,CA,45.50061,-73.559115
Dandy,Restaurant,244 Saint-Jacques Rue,CA,45.503173,-73.55876
Nacarat,Cocktail Bar,900 René-Lévesque O,CA,45.500712,-73.568076
Il Focolaio Pizza Resto,Pizzeria,1223 rue du Square-Phillips,CA,45.504007,-73.568085
Marché Artisans,Restaurant,900 Rene-Levesque Blvd O,CA,45.500312,-73.568209
Tommy,Lounge,200 Notre-Dame Rue O,CA,45.503713,-73.557373
Mandy's,Salad Restaurant,425 Saint Nicolas Rue,CA,45.50232,-73.556021
Flyjin,Night Club,417 Saint-Pierre Rue,CA,45.501625,-73.556677
Soubois,Restaurant,1106 Blvd de Maisonneuve Ouest,CA,45.500634,-73.574708
Cafe Vasco Da Gama,Café,1472 Peel Rue,CA,45.500636,-73.574611
Deville Dinerbar,Diner,1425 Stanley Rue,CA,45.499792,-73.574245
Bar George,Hotel Bar,1440 Drummond Rue,CA,45.499081,-73.575675
Le Taj,Indian Restaurant,2077 Stanley Rue,CA,45.500936,-73.576655
Reuben's Deli,Deli,1116 Sainte-Catherine Rue O,CA,45.499704,-73.572983
Roots,Clothing Store,1025 Sainte-Catherine Rue O,CA,45.500329,-73.572955
Joe's Panini,Fast Food Restaurant,1404 Drummond Rue,CA,45.498702,-73.574743
Maison Boulud,French Restaurant,1228 Sherbrooke Rue O,CA,45.499998,-73.578077
La Maison Simons,Clothing Store,977 Sainte-Catherine Rue O,CA,45.501138,-73.572303
Nouilles de Lan Zhou,Chinese Restaurant,1006 Saint-Laurent Blvd,CA,45.507703,-73.559485
Terrasse Place d'Armes,Hotel Bar,701 Cote de la Pl d'Armes 8th Floor,CA,45.505472,-73.557477
Qing Hua Chinatown,Dumpling Restaurant,1019 St-Laurent Blvd,CA,45.508156,-73.559596
Paquebot Vieux-Mtl,Café,520 Saint-Laurent Blvd,CA,45.506234,-73.55629
La Capital Tacos,Taco Restaurant,1096 Saint-Laurent Blvd,CA,45.508465,-73.561156
Notre-Dame Basilica of Montréal (Basilique Notre-Dame de Montréal),Structure,110 Notre-Dame Rue O,CA,45.504425,-73.55595
Ming Tao Xuan,Tea Room,451 Saint-Sulpice Rue,CA,45.504824,-73.55581
Tommy,Lounge,200 Notre-Dame Rue O,CA,45.503713,-73.557373
Tiradito,Bar,1076 Rue de Bleury,CA,45.504444,-73.563353
Dandy,Restaurant,244 Saint-Jacques Rue,CA,45.503173,-73.55876
Benelux,Beer Bar,245 Sherbrooke Rue O,CA,45.509571,-73.571023
Papeterie Nota Bene,Stationery Store,3416 Ave du Parc,CA,45.50842,-73.571761
Salle Wilfrid Pelletier - Place des Arts,Concert Hall,175 Sainte-Catherine Rue O,CA,45.508461,-73.566967
La Maison Symphonique de Montréal,Concert Hall,1600 Saint-Urbain Rue,CA,45.509375,-73.566706
Café Osmo,Café,51 Sherbrooke Rue O,CA,45.511864,-73.57003
Place des Festivals,Park,N/A,CA,45.507086,-73.567505
Café Parvis,Café,433 Mayor Rue,CA,45.505742,-73.569351
Studio-Theatre de la Place des Arts,Performing Arts Venue,175 Sainte-Catherine Rue O,CA,45.508022,-73.566179
Eva B,Vintage and Thrift Store,2013 Saint Laurent Blvd,CA,45.511638,-73.567166
Lola Rosa Cafe,Vegan and Vegetarian Restaurant,545 Milton Rue,CA,45.507314,-73.575891
Noble Café,Café,430 Laurier Ave E,CA,45.527216,-73.588982
Fous Desserts,Bakery,809 Laurier Ave E,CA,45.529172,-73.587785
Fruiterie Muscat Inc,Fruit and Vegetable Store,5000 Saint-Denis Rue,CA,45.526263,-73.588321
Café Myriade - le Plateau,Coffee Shop,4627 Saint-Denis Rue,CA,45.52481,-73.584349
